dt,team,player_name,espn_id,gsis_id,pos_grp_id,pos_grp,pos_id,pos_name,pos_abb,pos_slot,pos_rank
2026-09-01T12:20:07Z,CIN,Drew Sample,3127310,00-0035631,21,3WR 1TE,7,Tight End,TE,10,2
2026-09-01T12:20:07Z,CIN,Erick All Jr.,4427834,00-0039814,21,3WR 1TE,7,Tight End,TE,10,3
2026-09-01T12:20:07Z,CIN,Jack Endries,5085189,00-0041116,21,3WR 1TE,7,Tight End,TE,10,4
2026-09-01T12:20:07Z,CIN,Ja'Marr Chase,4362628,00-0036900,21,3WR 1TE,1,Wide Receiver,WR,1,1
2026-09-01T12:20:07Z,CIN,Tee Higgins,4239993,00-0036410,21,3WR 1TE,1,Wide Receiver,WR,2,2
2026-09-01T12:20:07Z,CIN,Andrei Iosivas,4368003,00-0038619,21,3WR 1TE,1,Wide Receiver,WR,8,3
2026-09-01T12:20:07Z,CIN,Colbie Young,5092508,00-0041069,21,3WR 1TE,1,Wide Receiver,WR,1,4
2026-09-01T12:20:07Z,CIN,Dohnte Meyers,4384852,00-0040785,21,3WR 1TE,1,Wide Receiver,WR,2,5
2026-09-01T12:20:07Z,CIN,Ke'Shawn Williams,4570738,00-0040534,21,3WR 1TE,1,Wide Receiver,WR,8,6
2026-09-01T12:20:07Z,CLE,Deshaun Watson,3122840,00-0033537,21,3WR 1TE,8,Quarterback,QB,9,1
2026-09-01T12:20:07Z,CLE,Shedeur Sanders,4432762,00-0040668,21,3WR 1TE,8,Quarterback,QB,9,2
2026-09-01T12:20:07Z,CLE,Taylen Green,4431325,00-0041092,21,3WR 1TE,8,Quarterback,QB,9,3
2026-09-01T12:20:07Z,CLE,Dillon Gabriel,4427238,00-0040704,21,3WR 1TE,8,Quarterback,QB,9,4
2026-09-01T12:20:07Z,CLE,Quinshon Judkins,4685702,00-0040784,21,3WR 1TE,9,Running Back,RB,11,1
2026-09-01T12:20:07Z,CLE,Dylan Sampson,5081397,00-0040162,21,3WR 1TE,9,Running Back,RB,11,2
2026-09-01T12:20:07Z,CLE,Raheim Sanders,4601080,00-0040466,21,3WR 1TE,9,Running Back,RB,11,3
2026-09-01T12:20:07Z,CLE,Harold Fannin Jr.,5083076,00-0040663,21,3WR 1TE,7,Tight End,TE,10,1
2026-09-01T12:20:07Z,CLE,Blake Whiteheart,4362018,00-0038710,21,3WR 1TE,7,Tight End,TE,10,2
2026-09-01T12:20:07Z,CLE,Carsen Ryan,4685540,00-0041131,21,3WR 1TE,7,Tight End,TE,10,3
2026-09-01T12:20:07Z,CLE,Joe Royer,4565859,00-0041087,21,3WR 1TE,7,Tight End,TE,10,4
2026-09-01T12:20:07Z,CLE,Jerry Jeudy,4241463,00-0036407,21,3WR 1TE,1,Wide Receiver,WR,1,1
2026-09-01T12:20:07Z,CLE,KC Concepcion,4870653,00-0041547,21,3WR 1TE,1,Wide Receiver,WR,2,2
2026-09-01T12:20:07Z,CLE,Denzel Boston,4832800,00-0041037,21,3WR 1TE,1,Wide Receiver,WR,8,3
2026-09-01T12:20:07Z,CLE,Isaiah Bond,4808839,00-0040782,21,3WR 1TE,1,Wide Receiver,WR,1,4
2026-09-01T12:20:07Z,CLE,Tylan Wallace,4241424,00-0036630,21,3WR 1TE,1,Wide Receiver,WR,2,5
2026-09-01T12:20:07Z,CLE,Malachi Corley,4613104,00-0039920,21,3WR 1TE,1,Wide Receiver,WR,8,6
2026-09-01T12:20:07Z,CLE,Jamari Thrash,4428678,00-0039379,21,3WR 1TE,1,Wide Receiver,WR,1,7
2026-09-01T12:20:07Z,DAL,Dak Prescott,2577417,00-0033077,21,3WR 1TE,8,Quarterback,QB,9,1
2026-09-01T12:20:07Z,DAL,Sam Howell,4426875,00-0037077,21,3WR 1TE,8,Quarterback,QB,9,2
2026-09-01T12:20:07Z,DAL,Javonte Williams,4361579,00-0036997,21,3WR 1TE,9,Running Back,RB,11,1
2026-09-01T12:20:07Z,DAL,Malik Davis,4240603,00-0037563,21,3WR 1TE,9,Running Back,RB,11,2
2026-09-01T12:20:07Z,DAL,Emari Demercado,4362478,00-0038705,21,3WR 1TE,9,Running Back,RB,11,3
2026-09-01T12:20:07Z,DAL,Jake Ferguson,4242355,00-0038041,21,3WR 1TE,7,Tight End,TE,10,1
2026-09-01T12:20:07Z,DAL,Brevyn Spann-Ford,4360967,00-0039530,21,3WR 1TE,7,Tight End,TE,10,2
2026-09-01T12:20:07Z,DAL,Luke Schoonmaker,4372096,00-0038547,21,3WR 1TE,7,Tight End,TE,10,3
2026-09-01T12:20:07Z,DAL,Princeton Fant,4242442,00-0038735,21,3WR 1TE,7,Tight End,TE,10,4
2026-09-01T12:20:07Z,DAL,DJ Rogers,4710711,00-0040938,21,3WR 1TE,7,Tight End,TE,10,5
2026-09-01T12:20:07Z,DAL,CeeDee Lamb,4241389,00-0036358,21,3WR 1TE,1,Wide Receiver,WR,1,1
2026-09-01T12:20:07Z,DAL,George Pickens,4426354,00-0037247,21,3WR 1TE,1,Wide Receiver,WR,2,2
2026-09-01T12:20:07Z,DAL,Ryan Flournoy,5083754,00-0039410,21,3WR 1TE,1,Wide Receiver,WR,8,3
2026-09-01T12:20:07Z,DAL,KaVontae Turpin,3676833,00-0037801,21,3WR 1TE,1,Wide Receiver,WR,1,4
2026-09-01T12:20:07Z,DAL,Jonathan Mingo,4426485,00-0039062,21,3WR 1TE,1,Wide Receiver,WR,2,5
2026-09-01T12:20:07Z,DAL,Camden Brown,4808759,00-0040930,21,3WR 1TE,1,Wide Receiver,WR,8,6
2026-09-01T12:20:07Z,DEN,Bo Nix,4426338,00-0039732,21,3WR 1TE,8,Quarterback,QB,9,1
2026-09-01T12:20:07Z,DEN,Jarrett Stidham,3892775,00-0035264,21,3WR 1TE,8,Quarterback,QB,9,2
2026-09-01T12:20:07Z,DEN,Sam Ehlinger,4241820,00-0036879,21,3WR 1TE,8,Quarterback,QB,9,3
2026-09-01T12:20:07Z,DEN,J.K. Dobbins,4241985,00-0036158,21,3WR 1TE,9,Running Back,RB,11,1
2026-09-01T12:20:07Z,DEN,RJ Harvey,4568490,00-0040730,21,3WR 1TE,9,Running Back,RB,11,2
2026-09-01T12:20:07Z,DEN,Jonah Coleman,4702555,00-0041496,21,3WR 1TE,9,Running Back,RB,11,3
2026-09-01T12:20:07Z,DEN,Tyler Badie,4362748,00-0037085,21,3WR 1TE,9,Running Back,RB,11,4
2026-09-01T12:20:07Z,DEN,Evan Engram,3051876,00-0033881,21,3WR 1TE,7,Tight End,TE,10,1
2026-09-01T12:20:07Z,DEN,Adam Trautman,3911853,00-0036422,21,3WR 1TE,7,Tight End,TE,10,2
2026-09-01T12:20:07Z,DEN,Nate Adkins,4383440,00-0038783,21,3WR 1TE,7,Tight End,TE,10,3
2026-09-01T12:20:07Z,DEN,Dallen Bentley,5159802,00-0041133,21,3WR 1TE,7,Tight End,TE,10,4
2026-09-01T12:20:07Z,DEN,Caleb Lohner,4432208,00-0040240,21,3WR 1TE,7,Tight End,TE,10,5
2026-09-01T12:20:07Z,DEN,Courtland Sutton,3128429,00-0034348,21,3WR 1TE,1,Wide Receiver,WR,1,1
2026-09-01T12:20:07Z,DEN,Jaylen Waddle,4372016,00-0036613,21,3WR 1TE,1,Wide Receiver,WR,2,2
2026-09-01T12:20:07Z,DEN,Troy Franklin,4431280,00-0039868,21,3WR 1TE,1,Wide Receiver,WR,8,3
2026-09-01T12:20:07Z,DEN,Marvin Mims Jr.,4686472,00-0038976,21,3WR 1TE,1,Wide Receiver,WR,1,4
2026-09-01T12:20:07Z,DEN,Pat Bryant,4600981,00-0040134,21,3WR 1TE,1,Wide Receiver,WR,2,5
2026-09-01T12:20:07Z,DEN,Lil'Jordan Humphrey,4039057,00-0035406,21,3WR 1TE,1,Wide Receiver,WR,8,6
2026-09-01T12:20:07Z,DET,Jared Goff,3046779,00-0033106,21,3WR 1TE,8,Quarterback,QB,9,1
2026-09-01T12:20:07Z,DET,Joshua Dobbs,3044720,00-0033949,21,3WR 1TE,8,Quarterback,QB,9,2
2026-09-01T12:20:07Z,DET,Jahmyr Gibbs,4429795,00-0039139,21,3WR 1TE,9,Running Back,RB,11,1
2026-09-01T12:20:07Z,DET,Isiah Pacheco,4361529,00-0037197,21,3WR 1TE,9,Running Back,RB,11,2
2026-09-01T12:20:07Z,DET,Sione Vaki,4912274,00-0039364,21,3WR 1TE,9,Running Back,RB,11,3
2026-09-01T12:20:07Z,DET,Jacob Saylors,4383429,00-0038896,21,3WR 1TE,9,Running Back,RB,11,4
2026-09-01T12:20:07Z,DET,Jabari Small,4432545,00-0039652,21,3WR 1TE,9,Running Back,RB,11,5
2026-09-01T12:20:07Z,DET,Sam LaPorta,4430027,00-0039065,21,3WR 1TE,7,Tight End,TE,10,1
2026-09-01T12:20:07Z,DET,Brock Wright,4242392,00-0036754,21,3WR 1TE,7,Tight End,TE,10,2
2026-09-01T12:20:07Z,DET,Jackson Meeks,4602788,00-0040390,21,3WR 1TE,7,Tight End,TE,10,3
2026-09-01T12:20:07Z,DET,Amon-Ra St. Brown,4374302,00-0036963,21,3WR 1TE,1,Wide Receiver,WR,1,1
2026-09-01T12:20:07Z,DET,Jameson Williams,4426388,00-0037240,21,3WR 1TE,1,Wide Receiver,WR,2,2
2026-09-01T12:20:07Z,DET,Isaac TeSlaa,5123663,00-0040669,21,3WR 1TE,1,Wide Receiver,WR,8,3
2026-09-01T12:20:07Z,DET,Tay Martin,4245144,00-0037524,21,3WR 1TE,1,Wide Receiver,WR,1,4
2026-09-01T12:20:07Z,DET,Kendrick Law,4685441,00-0041446,21,3WR 1TE,1,Wide Receiver,WR,2,5
2026-09-01T12:20:07Z,GB,Jordan Love,4036378,00-0036264,21,3WR 1TE,8,Quarterback,QB,9,1
2026-09-01T12:20:07Z,GB,Tyrod Taylor,14163,00-0028118,21,3WR 1TE,8,Quarterback,QB,9,2
2026-09-01T12:20:07Z,GB,MarShawn Lloyd,4429023,00-0039811,21,3WR 1TE,9,Running Back,RB,11,1
2026-09-01T12:20:07Z,GB,Chris Brooks,3149687,00-0038685,21,3WR 1TE,9,Running Back,RB,11,2
2026-09-01T12:20:07Z,GB,Kaleb Johnson,4819231,00-0040142,21,3WR 1TE,9,Running Back,RB,11,3
2026-09-01T12:20:07Z,GB,Josh Jacobs,4047365,00-0035700,21,3WR 1TE,9,Running Back,RB,11,4
2026-09-01T12:20:07Z,GB,Tucker Kraft,4572680,00-0038996,21,3WR 1TE,7,Tight End,TE,10,1
2026-09-01T12:20:07Z,GB,Jonnu Smith,3054212,00-0033858,21,3WR 1TE,7,Tight End,TE,10,2
2026-09-01T12:20:07Z,GB,Josh Whyle,4360086,00-0038589,21,3WR 1TE,7,Tight End,TE,10,3
2026-09-01T12:20:07Z,GB,Mark Redman,4431346,00-0040598,21,3WR 1TE,7,Tight End,TE,10,4
2026-09-01T12:20:07Z,GB,Luke Musgrave,4428085,00-0039144,21,3WR 1TE,7,Tight End,TE,10,5
2026-09-01T12:20:07Z,GB,Thomas Yassmin,4361027,00-0039936,21,3WR 1TE,7,Tight End,TE,10,6
2026-09-01T12:20:07Z,GB,Christian Watson,4248528,00-0038124,21,3WR 1TE,1,Wide Receiver,WR,1,1
2026-09-01T12:20:07Z,GB,Jayden Reed,4362249,00-0039146,21,3WR 1TE,1,Wide Receiver,WR,2,2
2026-09-01T12:20:07Z,GB,Matthew Golden,4701936,00-0040667,21,3WR 1TE,1,Wide Receiver,WR,8,3
2026-09-01T12:20:07Z,GB,Bo Melton,4259305,00-0037091,21,3WR 1TE,1,Wide Receiver,WR,1,4
2026-09-01T12:20:07Z,GB,Skyy Moore,4430191,00-0038090,21,3WR 1TE,1,Wide Receiver,WR,2,5
2026-09-01T12:20:07Z,GB,J. Michael Sturdivant,4635009,00-0040948,21,3WR 1TE,1,Wide Receiver,WR,8,6
2026-09-01T12:20:07Z,GB,Savion Williams,4431487,00-0040009,21,3WR 1TE,1,Wide Receiver,WR,1,7
2026-09-01T12:20:07Z,HOU,C.J. Stroud,4432577,00-0039163,21,3WR 1TE,8,Quarterback,QB,9,1
2026-09-01T12:20:07Z,HOU,Davis Mills,4242546,00-0036898,21,3WR 1TE,8,Quarterback,QB,9,2
2026-09-01T12:20:07Z,HOU,Graham Mertz,4426335,00-0040211,21,3WR 1TE,8,Quarterback,QB,9,3
2026-09-01T12:20:07Z,HOU,David Montgomery,4035538,00-0035685,21,3WR 1TE,9,Running Back,RB,11,1
2026-09-01T12:20:07Z,HOU,Woody Marks,4429059,00-0040583,21,3WR 1TE,9,Running Back,RB,11,2
2026-09-01T12:20:07Z,HOU,British Brooks,4373273,00-0039603,21,3WR 1TE,9,Running Back,RB,11,3
2026-09-01T12:20:07Z,HOU,Dalton Schultz,3117256,00-0034383,21,3WR 1TE,7,Tight End,TE,10,1
2026-09-01T12:20:07Z,HOU,Foster Moreau,3843945,00-0034981,21,3WR 1TE,7,Tight End,TE,10,2
2026-09-01T12:20:07Z,HOU,Cade Stover,4426496,00-0039359,21,3WR 1TE,7,Tight End,TE,10,3
2026-09-01T12:20:07Z,HOU,Marlin Klein,4695705,00-0041472,21,3WR 1TE,7,Tight End,TE,10,4
