Date,Player,Player_Type,Market_Player_Norm,Market_Fetched_At_UTC,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Provider,Market_H,Synthetic_Market_H,Market_H_books,Market_H_over_price,Market_H_under_price,Market_H_line_std,Market_Provider_H,Market_RBI,Synthetic_Market_RBI,Market_RBI_books,Market_RBI_over_price,Market_RBI_under_price,Market_RBI_line_std,Market_Provider_RBI,Market_HR,Synthetic_Market_HR,Market_HR_books,Market_HR_over_price,Market_HR_under_price,Market_HR_line_std,Market_Provider_HR,Market_K,Synthetic_Market_K,Market_K_books,Market_K_over_price,Market_K_under_price,Market_K_line_std,Market_Provider_K,Market_ER,Synthetic_Market_ER,Market_ER_books,Market_ER_over_price,Market_ER_under_price,Market_ER_line_std,Market_Provider_ER
2026-04-09,Jazz Chisholm Jr.,hitter,Jazz_Chisholm_Jr,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-186.5,144.0,0.0,covers,0.5,0.5,2.0,216.5,,0.0,covers,0.5,0.5,2.0,850.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jerar Encarnacion,hitter,Jerar_Encarnacion,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-177.0,132.0,0.0,covers,0.5,0.5,1.0,193.0,,0.0,covers,0.5,0.5,1.0,485.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jeremiah Jackson,hitter,Jeremiah_Jackson,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-185.0,138.0,0.0,covers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Joc Pederson,hitter,Joc_Pederson,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-126.0,-119.0,0.0,covers,0.5,0.5,2.0,213.5,,0.0,covers,0.5,0.5,2.0,423.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jonathan Aranda,hitter,Jonathan_Aranda,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-201.0,143.0,0.0,covers,0.5,0.5,2.0,192.5,,0.0,covers,0.5,0.5,2.0,478.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jordan Walker,hitter,Jordan_Walker,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-167.0,125.0,0.0,covers,0.5,0.5,1.0,219.0,,0.0,covers,0.5,0.5,1.0,680.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jose Caballero,hitter,Jose_Caballero,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-150.5,-105.0,0.0,covers,0.5,0.5,2.0,241.5,,0.0,covers,0.5,0.5,2.0,1080.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jose Ramirez,hitter,Jose_Ramirez,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-272.0,182.0,0.0,covers,0.5,0.5,2.0,147.5,,0.0,covers,0.5,0.5,2.0,460.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Josh Jung,hitter,Josh_Jung,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-144.0,104.0,0.0,covers,0.5,0.5,2.0,246.5,,0.0,covers,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Josh Smith,hitter,Josh_Smith,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-112.5,-120.0,0.0,covers,0.5,0.5,2.0,290.5,,0.0,covers,0.5,0.5,2.0,895.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Juan Brito,hitter,Juan_Brito,2026-04-10T01:12:42Z,369780,,,,covers,,,,,,,,0.5,0.5,1.0,220.0,,0.0,covers,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Jung Hoo Lee,hitter,Jung_Hoo_Lee,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-203.0,151.0,0.0,covers,0.5,0.5,1.0,203.0,,0.0,covers,0.5,0.5,1.0,650.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Junior Caminero,hitter,Junior_Caminero,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-181.0,132.0,0.0,covers,0.5,0.5,2.0,157.0,,0.0,covers,0.5,0.5,2.0,372.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Kyle Karros,hitter,Kyle_Karros,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-133.25,33.666666666666664,0.0,covers,0.5,0.5,4.0,270.75,-455.6666666666667,0.0,covers,0.5,0.5,4.0,1000.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Kyle Manzardo,hitter,Kyle_Manzardo,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-167.0,123.0,0.0,covers,0.5,0.5,2.0,161.5,,0.0,covers,0.5,0.5,2.0,481.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Kyle Tucker,hitter,Kyle_Tucker,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-256.5,186.0,0.0,covers,0.5,0.5,2.0,141.0,,0.0,covers,0.5,0.5,2.0,346.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Luis Arraez,hitter,Luis_Arraez,2026-04-10T01:12:42Z,368431,,,,covers,,,,,,,,0.5,0.5,1.0,204.0,,0.0,covers,0.5,0.5,1.0,660.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Manny Machado,hitter,Manny_Machado,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-201.25,150.0,0.0,covers,0.5,0.5,4.0,131.75,-194.0,0.0,covers,0.5,0.5,4.0,402.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Marcelo Mayer,hitter,Marcelo_Mayer,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-171.0,128.0,0.0,covers,0.5,0.5,1.0,220.0,,0.0,covers,0.5,0.5,1.0,850.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Masyn Winn,hitter,Masyn_Winn,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-194.0,145.0,0.0,covers,0.5,0.5,1.0,218.0,,0.0,covers,0.5,0.5,1.0,720.0,,0.0,covers,,,,,,,,,,,,,,
