provider_name,snapshot_time_utc,game_id,player,market,line,book,side,odds,no_vig,consensus,book_vs_consensus_gap,market_dispersion,time_to_lock
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,30.5,espnbet,UNDER,-120,0.5454545454545454,0.5390007545970849,0.006453790857460562,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,30.5,bovada,UNDER,-120,0.5454545454545454,0.5390007545970849,0.006453790857460562,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,30.5,betmgm,UNDER,-110,0.5238095238095238,0.5390007545970849,-0.015191230787561016,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,16.5,draftkings,OVER,-102,0.504950495049505,0.5126522064684702,-0.007701711418965251,0.04049700874367235,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,16.5,fanduel,OVER,-112,0.5283018867924528,0.5126522064684702,0.015649680323982618,0.04049700874367235,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,16.5,espnbet,OVER,-110,0.5238095238095238,0.5126522064684702,0.01115731734105363,0.04049700874367235,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,16.5,betmgm,OVER,-105,0.5121951219512195,0.5126522064684702,-0.0004570845172506832,0.04049700874367235,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,16.5,bovada,OVER,105,0.4878048780487805,0.5126522064684702,-0.02484732841968973,0.04049700874367235,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,16.5,draftkings,UNDER,-129,0.5633187772925764,0.5552257924844188,0.008092984808157566,0.03958436417615052,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,16.5,fanduel,UNDER,-118,0.5412844036697247,0.5552257924844188,-0.013941388814694089,0.03958436417615052,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,16.5,espnbet,UNDER,-120,0.5454545454545454,0.5552257924844188,-0.00977124702987342,0.03958436417615052,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,16.5,bovada,UNDER,-135,0.574468085106383,0.5552257924844188,0.019242292621964197,0.03958436417615052,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,16.5,betmgm,UNDER,-130,0.5652173913043478,0.5552257924844188,0.009991598819928948,0.03958436417615052,
