player_id,player_display_name,position,recent_team,opponent_team,season,week,actual,baseline,prediction,absolute_error,target
00-0038416,Tyson Bagent,QB,CHI,JAX,2024,6,0.0,155.2,169.4023556138195,169.4023556138195,passing
00-0038579,Aidan O'Connell,QB,LV,PIT,2024,6,227.0,156.2,179.1830884858528,47.81691151414719,passing
00-0039152,Will Levis,QB,TEN,IND,2024,6,95.0,124.0,163.0210707793393,68.02107077933931,passing
00-0039163,C.J. Stroud,QB,HOU,NE,2024,6,192.0,277.0,247.87506398164834,55.87506398164834,passing
00-0039732,Bo Nix,QB,DEN,LAC,2024,6,216.0,173.2,179.26503522983808,36.73496477016192,passing
00-0039910,Jayden Daniels,QB,WAS,BAL,2024,6,269.0,227.0,245.89263828092345,23.10736171907655,passing
00-0039918,Caleb Williams,QB,CHI,JAX,2024,6,226.0,218.2,218.79339724690254,7.206602753097457,passing
00-0023459,Aaron Rodgers,QB,NYJ,PIT,2024,7,276.0,244.0,239.0274014897193,36.972598510280704,passing
00-0026498,Matthew Stafford,QB,LA,LV,2024,7,154.0,247.6,231.5371947956976,77.53719479569759,passing
00-0027973,Andy Dalton,QB,CAR,WAS,2024,7,93.0,179.2,199.06552014088783,106.06552014088783,passing
00-0029263,Russell Wilson,QB,PIT,NYJ,2024,7,264.0,201.0,207.10733810194876,56.892661898051244,passing
00-0029604,Kirk Cousins,QB,ATL,SEA,2024,7,232.0,288.6,262.50156129320175,30.501561293201746,passing
00-0030565,Geno Smith,QB,SEA,ATL,2024,7,207.0,321.4,245.39610986275466,38.396109862754656,passing
00-0033106,Jared Goff,QB,DET,MIN,2024,7,280.0,266.0,262.526567186786,17.473432813214004,passing
00-0033537,Deshaun Watson,QB,CLE,CIN,2024,7,128.0,170.2,199.53503175494845,71.53503175494845,passing
00-0033873,Patrick Mahomes,QB,KC,SF,2024,7,154.0,247.0,242.40457750864886,88.40457750864886,passing
00-0034177,Tim Boyle,QB,MIA,IND,2024,7,74.0,94.4,132.03172125163258,58.031721251632575,passing
00-0034771,Mason Rudolph,QB,TEN,BUF,2024,7,215.0,160.8,162.05103192817683,52.948968071823174,passing
00-0034796,Lamar Jackson,QB,BAL,TB,2024,7,281.0,251.2,236.8415753895099,44.1584246104901,passing
00-0034855,Baker Mayfield,QB,TB,BAL,2024,7,370.0,240.0,245.39015627991978,124.60984372008022,passing
00-0034857,Josh Allen,QB,BUF,TEN,2024,7,323.0,185.6,204.66667601314245,118.33332398685755,passing
00-0034869,Sam Darnold,QB,MIN,DET,2024,7,259.0,222.2,232.35233836068485,26.647661639315146,passing
00-0035228,Kyler Murray,QB,ARI,LAC,2024,7,145.0,204.8,214.67830273169437,69.67830273169437,passing
00-0035264,Jarrett Stidham,QB,DEN,NO,2024,7,0.0,230.4,200.25535262592462,200.25535262592462,passing
00-0035289,Gardner Minshew,QB,LV,LA,2024,7,154.0,202.8,187.96665069682894,33.966650696828935,passing
00-0035704,Drew Lock,QB,NYG,PHI,2024,7,6.0,141.0,160.7573721940938,154.7573721940938,passing
00-0035710,Daniel Jones,QB,NYG,PHI,2024,7,99.0,231.4,225.73257598900517,126.73257598900517,passing
00-0035993,Tyler Huntley,QB,MIA,IND,2024,7,87.0,98.6,150.09806500112902,63.098065001129015,passing
00-0036264,Jordan Love,QB,GB,HOU,2024,7,220.0,289.4,222.93044320608485,2.9304432060848455,passing
00-0036355,Justin Herbert,QB,LAC,ARI,2024,7,349.0,163.0,212.20331938113983,136.79668061886017,passing
00-0036389,Jalen Hurts,QB,PHI,NYG,2024,7,114.0,238.8,215.20438448553108,101.20438448553108,passing
00-0036442,Joe Burrow,QB,CIN,CLE,2024,7,181.0,282.8,258.55688993999496,77.55688993999496,passing
00-0036971,Trevor Lawrence,QB,JAX,NE,2024,7,193.0,234.4,226.1646100549734,33.164610054973394,passing
00-0037834,Brock Purdy,QB,SF,KC,2024,7,212.0,279.6,237.274030891767,25.274030891767012,passing
00-0038102,Kenny Pickett,QB,PHI,NYG,2024,7,0.0,148.0,173.8800898195089,173.8800898195089,passing
00-0038579,Aidan O'Connell,QB,LV,LA,2024,7,52.0,189.2,187.39356786460792,135.39356786460792,passing
00-0039150,Bryce Young,QB,CAR,WAS,2024,7,-4.0,101.8,135.47087322791594,139.47087322791594,passing
00-0039163,C.J. Stroud,QB,HOU,GB,2024,7,86.0,268.6,251.35137542009218,165.35137542009218,passing
00-0039164,Anthony Richardson,QB,IND,MIA,2024,7,129.0,150.4,140.77139968540786,11.771399685407857,passing
00-0039732,Bo Nix,QB,DEN,NO,2024,7,164.0,188.8,201.92746063602291,37.927460636022914,passing
00-0039910,Jayden Daniels,QB,WAS,CAR,2024,7,6.0,244.0,243.77142233274407,237.77142233274407,passing
00-0023459,Aaron Rodgers,QB,NYJ,NE,2024,8,233.0,264.0,235.53078781088087,2.5307878108808666,passing
00-0026498,Matthew Stafford,QB,LA,MIN,2024,8,279.0,215.0,234.15232387893772,44.84767612106228,passing
00-0029263,Russell Wilson,QB,PIT,NYG,2024,8,278.0,227.0,228.2334348978134,49.766565102186604,passing
00-0029604,Kirk Cousins,QB,ATL,TB,2024,8,276.0,286.8,260.10890885697796,15.891091143022038,passing
00-0030565,Geno Smith,QB,SEA,BUF,2024,8,212.0,297.4,240.86239110314963,28.862391103149633,passing
00-0033077,Dak Prescott,QB,DAL,SF,2024,8,243.0,284.6,237.1430544672558,5.8569455327441915,passing
00-0033106,Jared Goff,QB,DET,TEN,2024,8,85.0,278.6,252.13001133223264,167.13001133223264,passing
00-0033119,Jacoby Brissett,QB,NE,NYJ,2024,8,132.0,139.2,146.74769497168526,14.747694971685263,passing
00-0033873,Patrick Mahomes,QB,KC,LV,2024,8,262.0,219.6,219.24543202420222,42.754567975797784,passing
00-0034771,Mason Rudolph,QB,TEN,DET,2024,8,266.0,203.2,193.70632345371212,72.29367654628788,passing
00-0034796,Lamar Jackson,QB,BAL,CLE,2024,8,289.0,258.0,234.50914108049938,54.490858919500624,passing
00-0034855,Baker Mayfield,QB,TB,ATL,2024,8,330.0,277.0,240.38791974911612,89.61208025088388,passing
00-0034857,Josh Allen,QB,BUF,SEA,2024,8,283.0,222.4,234.19360534774438,48.80639465225562,passing
00-0034869,Sam Darnold,QB,MIN,LA,2024,8,240.0,232.4,210.30228365673116,29.697716343268837,passing
