block,event_date,leg_count,policy_hit,control_hit,legacy_fixed_rank_core_hit,policy_action,policy_players,control_players,policy_independence_reference,policy_frechet_lower_reference,minimum_policy_marginal,history_rows_in_window,survival_policy_version
historical_expanding,2026-03-19,3,True,False,,False,James Harden|Justin Edwards|Jaylon Tyson,Jaylon Tyson|Jamir Watkins|Justin Edwards,0.3804385308197149,0.0,0.7032403520790546,200,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-21,2,True,True,True,False,LeBron James|Justin Edwards,LeBron James|Justin Edwards,0.5763444964893658,0.41753330039089365,0.7591699656213594,210,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-21,3,True,True,,False,LeBron James|Justin Edwards|Tristan Vukcevic,LeBron James|Justin Edwards|Luke Kennard,0.4203501052247851,0.09441340358829908,0.72933828254668,210,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-23,2,True,True,True,True,Josh Minott|Ben Saraf,Josh Minott|Amen Thompson,0.6526968449971084,0.5247701589284914,0.7928870332382875,200,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-23,3,True,True,,False,Josh Minott|Ben Saraf|Ryan Nembhard,Josh Minott|Amen Thompson|Ben Saraf,0.5167208325682471,0.26804743869307135,0.7916704922490261,200,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-25,2,True,True,True,True,Toumani Camara|Jamison Battle,Toumani Camara|Jamison Battle,0.7741034709549913,0.5726096343038649,0.8797442568229101,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-25,3,True,True,,False,Toumani Camara|Jamison Battle|Bub Carrington,Toumani Camara|Jamison Battle|Brandon Williams,0.6503657546322794,0.297993964417393,0.8401535182757158,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-27,2,True,False,False,True,Jalen Wilson|TJ McConnell,John Konchar|Kelel Ware,0.7041460954518459,0.45001167206784265,0.8390757611136592,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-27,3,True,False,,False,Jalen Wilson|TJ McConnell|Jaden Hardy,John Konchar|Kelel Ware|Matisse Thybulle,0.5767188265262344,0.14582486066036404,0.8190329112826475,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-06,2,False,False,False,True,Olivier-Maxence_Prosper|Daniss_Jenkins,Olivier-Maxence_Prosper|Jalen_Duren,0.6360957511414211,0.4543783694396075,0.7295997897583859,140,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-06,3,False,False,,False,Olivier-Maxence_Prosper|Daniss_Jenkins|Jarrett_Allen,Olivier-Maxence_Prosper|Jalen_Duren|Daniss_Jenkins,0.46352908632254336,0.13623083898444222,0.7287096093485592,140,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-07,2,True,True,True,True,Will_Riley|Kyle_Filipowski,Will_Riley|Malik_Monk,0.6921800248541088,0.5115355328048197,0.8091283869472004,150,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
