Date,Player,Player_Type,Target,Line,Over_Price,Under_Price,Bookmaker,Provider,Market_Player_Norm,Market_Fetched_At_UTC,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Name
2026-04-09,TJ Rumfield,hitter,H,0.5,-175.0,130.0,BetMGM,covers,TJ_Rumfield,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,TJ Rumfield,hitter,H,0.5,-182.0,121.0,Caesars,covers,TJ_Rumfield,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,TJ Rumfield,hitter,H,0.5,-164.0,123.0,DraftKings,covers,TJ_Rumfield,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,TJ Rumfield,hitter,H,0.5,-175.0,,FanDuel,covers,TJ_Rumfield,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Mickey Moniak,hitter,H,0.5,-210.0,155.0,BetMGM,covers,Mickey_Moniak,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Mickey Moniak,hitter,H,0.5,-265.0,157.0,Caesars,covers,Mickey_Moniak,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Mickey Moniak,hitter,H,0.5,-235.0,174.0,DraftKings,covers,Mickey_Moniak,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Mickey Moniak,hitter,H,0.5,-220.0,,FanDuel,covers,Mickey_Moniak,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Freddy Fermin,hitter,H,0.5,-155.0,115.0,BetMGM,covers,Freddy_Fermin,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Freddy Fermin,hitter,H,0.5,-152.0,113.0,Caesars,covers,Freddy_Fermin,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Freddy Fermin,hitter,H,0.5,-157.0,118.0,DraftKings,covers,Freddy_Fermin,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Freddy Fermin,hitter,H,0.5,-150.0,,FanDuel,covers,Freddy_Fermin,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Miguel Andujar,hitter,H,0.5,-250.0,152.0,Caesars,covers,Miguel_Andujar,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Miguel Andujar,hitter,H,0.5,-203.0,151.0,DraftKings,covers,Miguel_Andujar,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jake McCarthy,hitter,H,0.5,-157.0,117.0,Caesars,covers,Jake_McCarthy,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jake McCarthy,hitter,H,0.5,-158.0,119.0,DraftKings,covers,Jake_McCarthy,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jake McCarthy,hitter,H,0.5,-175.0,,FanDuel,covers,Jake_McCarthy,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Ramon Laureano,hitter,H,0.5,-210.0,155.0,BetMGM,covers,Ramon_Laureano,2026-04-10T01:12:42Z,368270,,,,Total Hits
